,en,ru
MADE_WITH_GODOT,Made with\nGodot Engine,Сделано в\nGodot Engine
AT_SIBERIAN_GAME_JAM,at Siberian\nGame Jam,на Siberian\nGame Jam
NEW_GAME,Start Game,Начать игру
AUTHORS,Authors,Авторы
EXIT,Exit,Выход
STORY_LINE_1,Life can not be bought or sold…,Жизнь нельзя купить или продать...
STORY_LINE_2,But you can spend it on what\nyou really believe.,"Но её можно потратить на то, во что\nдействительно веришь."
STORY_LINE_3,I be-\nlieve,Я верю
STORY_LINE_4,in Sir\nСedric,в сэра\nСедрика
FINAL_LINE_1,Life is not a currency.,Жизнь – не деньги.
FINAL_LINE_2,But the gold is!,Золото – деньги!
FINAL_LINE_3,Take care of yourself.,Берегите себя.
FINAL_LINE_4,The End,Конец
H_GIVE_,Give…,Подать...
H_REPAIR_,Sharpen…,Чинить...
H_DROP_,Drop…,Бросить...
H_GIVE_SWORD,Give Sword,Подать меч
H_REPAIR_SWORD,Sharpen Sword,Чинить меч
H_DROP_SWORD,Drop Sword,Бросить меч
H_GIVE_AXE,Give Axe,Подать секиру
H_REPAIR_AXE,Sharpen Axe,Чинить секиру
H_DROP_AXE,Drop Axe,Бросить секиру
H_GIVE_BUCKET,Give Bucket Of Water,Дать ведро с водой
H_DROP_BUCKET,Drop Bucket Of Water,Поставить ведро с водой
H_REPAIR_BUCKET,Sharpen a bucket? Huh?,Ведро не нужно чинить
H_PAUSE,Pause,Пауза
VICTORY,GLORIOUS\nVICTORY!,ВРАГ\nПОВЕРЖЕН
DEFEAT,SIR\nKNIGHT\nDIED,СЭР\nРЫЦАРЬ\nПАЛ
PAUSE,PAUSE,ПАУЗА
CLICK_TO_CONT,Click to continue,"Нажмите, чтобы играть дальше"
ENEMY_1_PHRASE_1,Go Forth\nSir!,"Вперёд,\nсэр!"
ENEMY_1_PHRASE_2,!,!
ENEMY_2_PHRASE_1,Icebucket\nchallenge,Убъём их\nпоскорее
ENEMY_2_PHRASE_2,?,!
ENEMY_3_PHRASE_1,Get over\nhere!,Это ещё\nчто?
ENEMY_3_PHRASE_2,!!,!!
ENEMY_4_PHRASE_1,AVE\nMARIA,АВЕ\nМАРИЯ
ENEMY_4_PHRASE_2,DEUS\nVULT!,ДЕУС\nВУЛЬТ!
